model,score_test,f1,roc_auc,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_BAG_L2_FULL,0.9808019028202515,0.24350940017905104,0.9948809159104115,,challenge_score,17.250344038009644,1216.1459443569183,1877.690791130066,4.215380430221558,242.6506986618042,594.0636129379272,2,True,17
RandomForestEntr_BAG_L2,0.9808019028202515,0.24350940017905104,0.9948809159104115,0.43662928984029903,challenge_score,17.373313903808594,1216.1459443569183,1877.690791130066,4.2456793785095215,242.6506986618042,594.0636129379272,2,True,7
RandomForestEntr_BAG_L1,0.9785932721712538,0.21879255560599184,0.9953266897925778,0.4303431872239212,challenge_score,3.3487331867218018,245.67179369926453,587.8510050773621,3.3487331867218018,245.67179369926453,587.8510050773621,1,True,2
RandomForestEntr_BAG_L1_FULL,0.9785932721712538,0.21879255560599184,0.9953266897925778,,challenge_score,3.3576889038085938,245.67179369926453,587.8510050773621,3.3576889038085938,245.67179369926453,587.8510050773621,1,True,12
WeightedEnsemble_L3_FULL,0.9765545361875637,0.22737539527179643,0.9949525422058813,,challenge_score,21.074095249176025,,2536.5692222118378,0.005138397216796875,,84.5751621723175,3,True,20
WeightedEnsemble_L3,0.9765545361875637,0.22737539527179643,0.9949525422058813,0.4379884471627591,challenge_score,21.228508710861206,1459.0386879444122,2536.5692222118378,0.005100250244140625,0.45740270614624023,84.5751621723175,3,True,10
WeightedEnsemble_L2_FULL,0.9415562351342168,0.1426317450299779,0.9924824613202573,,challenge_score,9.762972831726074,,1263.4477372169495,0.005104780197143555,,42.79465389251709,2,True,15
WeightedEnsemble_L2,0.9415562351342168,0.1426317450299779,0.9924824613202573,0.4347604485219164,challenge_score,9.843157052993774,730.3980951309204,1263.4477372169495,0.006548166275024414,0.43779516220092773,42.79465389251709,2,True,5
RandomForestGini_BAG_L2_FULL,0.8775059463132857,0.29564210221514403,0.9834150481449928,,challenge_score,16.85357642173767,1215.9305865764618,1857.930447101593,3.818612813949585,242.43534088134766,574.3032689094543,2,True,16
RandomForestGini_BAG_L2,0.8775059463132857,0.29564210221514403,0.9834150481449928,0.42626571525654094,challenge_score,16.977729082107544,1215.9305865764618,1857.930447101593,3.8500945568084717,242.43534088134766,574.3032689094543,2,True,6
ExtraTreesEntr_BAG_L2_FULL,0.835202174651716,0.06540673788003287,0.9817587744929389,,challenge_score,17.35603165626526,1217.5210206508636,1346.8684833049774,4.321068048477173,244.0257749557495,63.241305112838745,2,True,19
ExtraTreesEntr_BAG_L2,0.835202174651716,0.06540673788003287,0.9817587744929389,0.4108053007135576,challenge_score,17.439114809036255,1217.5210206508636,1346.8684833049774,4.311480283737183,244.0257749557495,63.241305112838745,2,True,9
ExtraTreesGini_BAG_L2_FULL,0.8244988107373429,0.09914419505893751,0.9751720530714416,,challenge_score,17.18451738357544,1215.34437084198,1346.3890137672424,4.1495537757873535,241.84912514686584,62.76183557510376,2,True,18
ExtraTreesGini_BAG_L2,0.8244988107373429,0.09914419505893751,0.9751720530714416,0.40468909276248727,challenge_score,17.325621843338013,1215.34437084198,1346.3890137672424,4.19798731803894,241.84912514686584,62.76183557510376,2,True,8
ExtraTreesEntr_BAG_L1_FULL,0.7949371389738362,0.02450075516026179,0.9759517723948621,,challenge_score,3.4343366622924805,243.17910981178284,63.32949376106262,3.4343366622924805,243.17910981178284,63.32949376106262,1,True,14
ExtraTreesEntr_BAG_L1,0.7949371389738362,0.02450075516026179,0.9759517723948621,0.38820931022765887,challenge_score,3.5323777198791504,243.17910981178284,63.32949376106262,3.5323777198791504,243.17910981178284,63.32949376106262,1,True,4
ExtraTreesGini_BAG_L1_FULL,0.7602786272511043,0.037672945490915155,0.9636272507240977,,challenge_score,3.2770955562591553,243.53494572639465,62.9740948677063,3.2770955562591553,243.53494572639465,62.9740948677063,1,True,13
ExtraTreesGini_BAG_L1,0.7602786272511043,0.037672945490915155,0.9636272507240977,0.3836221542643561,challenge_score,3.2910256385803223,243.53494572639465,62.9740948677063,3.2910256385803223,243.53494572639465,62.9740948677063,1,True,3
RandomForestGini_BAG_L1,0.7505946313285763,0.18641195501463564,0.9576738690244848,0.41709140332993544,challenge_score,2.955497980117798,241.10939645767212,569.4725844860077,2.955497980117798,241.10939645767212,569.4725844860077,1,True,1
RandomForestGini_BAG_L1_FULL,0.7505946313285763,0.18641195501463564,0.9576738690244848,,challenge_score,2.9658424854278564,241.10939645767212,569.4725844860077,2.9658424854278564,241.10939645767212,569.4725844860077,1,True,11
